Name of infrastructure,OID
Cape Town Civic Centre,11092
Harare Municipal Building,#N/A
Hillstar FM 1,#N/A
Hillstar FM 2,#N/A
Hillstar Road and Drainage,#N/A
Hillstar Roadworthy,#N/A
Hillstar Solid Waste Workshop,#N/A
Hillstar Store and Mech Workshop,#N/A
Hillstar Traffic Building,#N/A
Hillstar W&S Admin (+Traffic),#N/A
Hillstar W&S Depot,#N/A
Berkley Muncipal Building (Abbatoir) total,#N/A
Ndabeni Fleet Workshops,#N/A
"Ndabeni Mech Eng, Fleet Ops",#N/A
Ndabeni City Engineers Stores (Supply Chain Management),#N/A
Spyker Street Municipal Depot - Fire Dept,#N/A
Spyker Street Municipal Depot  - Carpenter shp,#N/A
Spyker Street Municipal Depot  - stores,10882
Phillipi Depot Browns Farm,#N/A
Atlantis Depot,12045
Killarney Works Yard,11927
Somerset West Fire Station,10884
Goodwood,#N/A
Bellville Fire Station,10996
Khayelitsha,#N/A
Mfuleni,#N/A
Cape Town,#N/A
Kuilsrivier,#N/A
Atlantis,#N/A
Melkbosstrand,#N/A
Lakeside,#N/A
Strand,#N/A
Durbanville,#N/A
Brackenfell,#N/A
Simonstown,#N/A
Hout Bay,#N/A
Sea Point,#N/A
Salt River,#N/A
Epping,#N/A
Brooklyn,#N/A
Mitchells Plain,#N/A
Wynberg,#N/A
Constantia,#N/A
Macassar,#N/A
Milnerton,#N/A
Belhar,#N/A
Guguletu,#N/A
Lansdowne ,#N/A
Ottery,#N/A
Kraaifontein,#N/A
Gordon’s Bay,#N/A
Kuils River,#N/A
Milnerton,#N/A
Muizenberg,#N/A
Parow,#N/A
Atlantis,#N/A
Belrail,#N/A
Brackenfell,#N/A
Durbanville,#N/A
Lingelethu West,#N/A
Eastridge,#N/A
Elsies River,#N/A
Goodwood,#N/A
Hillstar,#N/A
Joe Gqabi,#N/A
New Ottery,#N/A
Sarepta,#N/A
Somerset West,#N/A
Maitland Impound Facility,#N/A
Ndabeni Impound Facility,#N/A
Plumstead Municipal Building (Admin Building),#N/A
Ottery Munic Building (Traffic Department),#N/A
Fezeka Municipal Building,11106
Durbanville Municipal Building,#N/A
Ndabeni Fleet Admin Building,#N/A
Somerset  West Municipal Building,#N/A
Kraaifontein Administrative Complex (Munic Building),#N/A
Goodwood Municipal Building (Admin),#N/A
44 Wale Street,11152
50 Wale,#N/A
52 Wale,#N/A
Gallows Hill Traffic Department,11091
Royal Ascot,#N/A
Omni Forum,#N/A
Kuilsriver Municipal Adminstrative Building,#N/A
Pienaar Road (Milnerton Municipal Administrative Building),#N/A
Strand Municipal Adminstrative Building,#N/A
Milnerton Traffic Department (William Penn),#N/A
Bellville Civic (main meter),#N/A
"Bellville OHS Offices, Reed Street 1",#N/A
"Bellville OHS Offices, Reed Street 2",#N/A
"Bellville OHS Offices, Reed Street 3",#N/A
Brackenfell Disaster Risk Management Centre (Janette Street),#N/A
Piers Road Building,10940
"Kendal Road Offices, Constantia",#N/A
"Kendal Road Offices, Constantia",#N/A
Keller House,#N/A
Simons Town Municipal Building,11044
Pinelands Municipal Building,11079
"Alphen Park, Constantia",#N/A
Fishhoek Municipal Building 1,#N/A
Fishhoek Municipal Building 2,#N/A
Brackenfell Municipal Building,#N/A
Macassar Municipal Building,10904
Langa Municipal Buildings,11196
Ficus Building (Lease),#N/A
Harmony Park,10895
Parow Municipal Building Parow 1 & 2),#N/A
Site B Khayelitsha Old Municipal Blg,#N/A
Site C Municipal Building,#N/A
Makhaza Municipal Building,10981
Noordhoek Municipal Offices - Disaster risk,#N/A
Fishhoek Fire Dept House,#N/A
Rochester Road Municipal Building,11119
Nyanga Municipal Buildings,11072
Parow law enforcement,11016
Fishhoek DRM office/store,#N/A
Bellville South Municipal Buildings,#N/A
Khayelitsha Resource Centre (Lingelethu City Engineers),#N/A
Stocks & Stocks Municipal Buildings,11018
Town Two Municipal Building,#N/A
Osborne Municipal Building,11013
Mfuleni Municipal Building,#N/A
Bonteheuwel Sub-Council Offices,11956
Lentegeur Municipal Building,34964702
Witsand Walk-in Centre,#N/A
Mamre Municipal Building,11926
Wesfleur Municipal Building,11914
Beaufort House Municipal Building,#N/A
Rustdal Municipal Building,#N/A
Bellville South Civic Centre,#N/A
Noordhoek Municipal Offices - Admin,#N/A
Communicare,#N/A
Du noon Walk-in centre,#N/A
Belhar Council Chamber,#N/A
Gordon's Bay Admin Building,#N/A
Bellpark Building,#N/A
Melton Rose Municipal Building,#N/A
Phillipi (Island) Walk-in Centre,#N/A
Phillipi B Walk-in Centre,#N/A
Ledger House,#N/A
Fishhoek Driver Licence Dept,#N/A
Fishhoek Subcouncil,#N/A
Lookout Hill,#N/A
73 Hertzog Boulevard (Leased),#N/A
Waldorf Building (Lease),#N/A
101 Hertzog Boulevard (Lease),#N/A
Millpark (Lease),#N/A
Media City (Lease),#N/A
Propnet Building (PX) (Lease),#N/A
Ramir (Lease),#N/A
Paul Sauer (Lease),#N/A
Slaney Centre (Lease),#N/A
N1 House (Lease),#N/A
Sarepta Municipal Building (Lease),#N/A
"12 Plein Street, Durbanville Building (Lease)",#N/A
Atlantis Foundaries (Lease),#N/A
AVTS Roadworthy Station (Lease),#N/A
Cape Town Harbour (1st Substation) (Lease),#N/A
Cape Town Harbour (2nd Substation) (Lease),#N/A
Cape Town Harbour (3rd Substation) (Lease),#N/A
Metboard Properties (Lease),#N/A
Maconi Centre (Lease),#N/A
Nolan House (Lease),#N/A
Plumstead Station Parking (Lease),#N/A
Promanade (Lease),#N/A
Roadworthy Station (Airport Industria) (Lease),#N/A
Sacks Circle (Lease),#N/A
"Standard Bank Building (7th, 9th, 13th, 14th and 15th floors) (Lease)",#N/A
Tygervalley Centre (Lease),#N/A
Village Square Shops 9 and 10 (Public Library) (Lease),#N/A
Westridge Mall (Shop 19) (Lease),#N/A
Fishhoek MTN Tower,#N/A
Metlife Centre (Lease),#N/A
Twinell Building (Lease),#N/A
Fintrust Building (Lease),#N/A
35 Wale Street (64 Parking Bays) (Lease),#N/A
38 Wale Street (Chambers) (Lease),#N/A
33 Church Street (Lease),#N/A
Tokamak (Lease),#N/A
"Metro Police Offices, Bonteheuwel",#N/A
Khayelitsha Offices (Metro Police),#N/A
Metro Police Academy (Observatory),#N/A
Khayelitsha/ Eyethu Training Centre,#N/A
Kuilsriver,#N/A
Blue Downs,#N/A
Khayelitsha,#N/A
Somerset West/Spyker Street,#N/A
Mowbray City Parks Depot,11888
Athlone,#N/A
Merrydale,#N/A
Newlands,#N/A
Muizenberg,#N/A
Hill Star City Park,#N/A
Weltevreden/ Tafelsig Depot,11137
Green Point Park ,#N/A
Seapoint,#N/A
Company's Garden,#N/A
Wynberg - Maynardville park (office),#N/A
Rondebosch 2,#N/A
Wynberg - Maynardville park (security),#N/A
